#{"t_start": 1678197736.3717868, "env_id": "CartPole-v0"}
r,l,t
13.0,13,7.855037
28.0,28,7.855037
20.0,20,7.855037
9.0,9,7.855037
27.0,27,7.864488
11.0,11,7.864488
10.0,10,7.864488
58.0,58,7.864488
11.0,11,7.871511
15.0,15,7.871511
19.0,19,7.879524
34.0,34,7.881043
9.0,9,7.881043
15.0,15,7.881043
22.0,22,7.887562
15.0,15,7.887562
16.0,16,7.887562
25.0,25,7.887562
26.0,26,7.887562
41.0,41,7.895586
72.0,72,7.90358
10.0,10,7.90358
15.0,15,7.90358
11.0,11,7.90358
21.0,21,7.90358
19.0,19,7.90358
30.0,30,7.911597
26.0,26,7.911597
22.0,22,7.911597
21.0,21,7.919585
23.0,23,7.919585
18.0,18,7.919585
16.0,16,7.919585
49.0,49,7.919585
38.0,38,7.927603
15.0,15,7.927603
29.0,29,7.935582
13.0,13,7.935582
14.0,14,7.935582
29.0,29,7.935582
20.0,20,7.935582
19.0,19,7.935582
11.0,11,7.935582
16.0,16,7.943607
19.0,19,7.943607
23.0,23,7.943607
21.0,21,7.943607
13.0,13,7.943607
13.0,13,7.943607
42.0,42,7.951597
14.0,14,7.951597
22.0,22,7.951597
12.0,12,7.951597
34.0,34,7.959598
15.0,15,7.967577
23.0,23,7.967577
12.0,12,7.967577
30.0,30,7.967577
35.0,35,7.967577
18.0,18,7.967577
22.0,22,7.975586
38.0,38,7.975586
13.0,13,7.975586
21.0,21,7.981104
20.0,20,7.983616
14.0,14,7.983616
13.0,13,7.983616
12.0,12,7.983616
21.0,21,7.983616
13.0,13,7.983616
22.0,22,7.983616
17.0,17,7.983616
18.0,18,7.991625
35.0,35,7.991625
13.0,13,7.991625
13.0,13,7.991625
16.0,16,7.991625
33.0,33,7.999636
30.0,30,7.999636
31.0,31,7.999636
36.0,36,7.999636
21.0,21,8.007648
17.0,17,8.007648
22.0,22,8.007648
23.0,23,8.007648
16.0,16,8.015633
17.0,17,8.015633
16.0,16,8.015633
20.0,20,8.015633
49.0,49,8.015633
39.0,39,8.023651
12.0,12,8.023651
46.0,46,8.023651
11.0,11,8.031628
14.0,14,8.031628
17.0,17,8.031628
16.0,16,8.031628
12.0,12,8.031628
32.0,32,8.031628
10.0,10,8.031628
20.0,20,8.039631
12.0,12,8.039631
12.0,12,8.039631
14.0,14,8.039631
33.0,33,8.047639
14.0,14,8.047639
32.0,32,8.047639
15.0,15,8.047639
18.0,18,8.047639
27.0,27,8.055636
53.0,53,8.055636
12.0,12,8.055636
36.0,36,8.063629
22.0,22,8.063629
24.0,24,8.063629
13.0,13,8.063629
17.0,17,8.063629
16.0,16,8.063629
31.0,31,8.07165
37.0,37,8.07165
20.0,20,8.07165
13.0,13,8.07165
15.0,15,8.07165
18.0,18,8.07165
18.0,18,8.07165
17.0,17,8.081187
26.0,26,8.081187
27.0,27,8.081187
14.0,14,8.081187
19.0,19,8.081187
36.0,36,8.087709
33.0,33,8.087709
31.0,31,8.087709
64.0,64,8.096371
10.0,10,8.096371
15.0,15,8.096371
14.0,14,8.096371
23.0,23,8.096371
9.0,9,8.096371
25.0,25,8.096371
18.0,18,8.103884
21.0,21,8.103884
18.0,18,8.103884
29.0,29,8.103884
14.0,14,8.103884
11.0,11,8.11993
23.0,23,8.11993
11.0,11,8.11993
27.0,27,8.11993
18.0,18,8.11993
17.0,17,8.11993
10.0,10,8.11993
20.0,20,8.127896
13.0,13,8.127896
23.0,23,8.127896
13.0,13,8.127896
14.0,14,8.127896
24.0,24,8.13593
25.0,25,8.13593
33.0,33,8.13593
22.0,22,8.13593
12.0,12,8.13593
19.0,19,8.13593
13.0,13,8.143982
14.0,14,8.143982
9.0,9,8.143982
27.0,27,8.143982
17.0,17,8.143982
15.0,15,8.151904
10.0,10,8.151904
67.0,67,8.151904
42.0,42,8.159897
20.0,20,8.159897
14.0,14,8.159897
36.0,36,8.168092
16.0,16,8.168092
52.0,52,8.168092
44.0,44,8.177411
15.0,15,8.184463
9.0,9,8.184463
18.0,18,8.184463
66.0,66,8.192482
27.0,27,8.200476
24.0,24,8.200476
11.0,11,8.200476
16.0,16,8.200476
24.0,24,8.208477
24.0,24,8.208477
27.0,27,8.208477
26.0,26,8.216508
16.0,16,8.216508
28.0,28,8.224477
14.0,14,8.224477
22.0,22,8.224477
14.0,14,8.224477
18.0,18,8.224477
13.0,13,8.232478
24.0,24,8.232478
12.0,12,8.232478
9.0,9,8.232478
45.0,45,8.232478
19.0,19,8.232478
25.0,25,8.240483
19.0,19,8.240483
15.0,15,8.240483
20.0,20,8.240483
9.0,9,8.240483
9.0,9,8.240483
11.0,11,8.240483
41.0,41,8.248657
19.0,19,8.248657
17.0,17,8.248657
18.0,18,8.248657
11.0,11,8.256645
14.0,14,8.256645
14.0,14,8.256645
17.0,17,8.256645
44.0,44,8.264652
15.0,15,8.264652
58.0,58,8.264652
24.0,24,8.272638
28.0,28,8.272638
12.0,12,8.272638
15.0,15,8.272638
46.0,46,8.280661
16.0,16,8.281685
11.0,11,8.281685
27.0,27,8.281685
17.0,17,8.281685
17.0,17,8.281685
27.0,27,8.288713
11.0,11,8.288713
